# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
64 8.6095 866.355531 5.970949 1.34236050 134.013504 22.546392 126.613785 1.672046 0.000000
65 8.0640 866.363595 5.970949 1.39100039 134.061340 22.547400 126.619301 1.672039 0.000000
66 8.3210 866.371916 5.970949 1.34072065 134.110748 22.549011 126.624817 1.672031 0.000000
67 8.6215 866.380537 5.970949 1.39282036 134.161957 22.551027 126.630432 1.672023 0.000000
68 8.1119 866.388649 5.970949 1.34118056 134.210144 22.553543 126.635513 1.672016 0.000000
69 8.5579 866.397207 5.970949 1.39298701 134.260986 22.556540 126.640770 1.672007 0.000000
70 8.0852 866.405292 5.970901 1.34109128 134.309036 22.559984 126.645554 1.672000 0.000000
71 8.6533 866.413946 5.970901 1.39356232 134.360474 22.564014 126.650566 1.671992 0.000000
72 8.0042 866.421950 5.970901 1.34108651 134.408081 22.568314 126.655029 1.671984 0.000000
73 8.3432 866.430293 5.970901 1.39175618 134.457703 22.573101 126.659569 1.671976 0.000000
74 8.5684 866.438862 5.970901 1.34262359 134.508682 22.578529 126.664055 1.671968 0.000000
75 8.3880 866.447250 5.970901 1.39364135 134.558594 22.584118 126.668343 1.671960 0.000000
76 8.0290 866.455279 5.970901 1.34115028 134.606400 22.589846 126.672287 1.671952 0.000000
77 8.3544 866.463633 5.970901 1.39203465 134.656143 22.596012 126.676292 1.671944 0.000000
78 8.3203 866.471953 5.970901 1.34124184 134.705704 22.602390 126.680130 1.671936 0.000000
79 8.5860 866.480539 5.970901 1.39360559 134.756851 22.609116 126.684006 1.671928 0.000000
80 8.3588 866.488898 5.968170 1.34297884 134.806641 22.615879 126.687622 1.671920 0.000000
81 8.0513 866.496949 5.968170 1.39214134 134.854599 22.622498 126.691040 1.671912 0.000000
82 8.4390 866.505388 5.950354 1.34193194 134.904770 22.630058 126.694595 1.671903 0.000000
83 8.5406 866.513929 5.950354 1.39412975 134.955505 22.638069 126.698196 1.671894 0.000000
84 8.1033 866.522032 5.964140 1.34182703 135.003708 22.644421 126.701469 1.671877 0.000000
85 8.2842 866.530316 5.964140 1.39251041 135.053040 22.650261 126.704727 1.671854 0.000000
86 11.2442 866.541561 5.970181 1.35938907 135.120087 22.657682 126.708923 1.671828 0.000000
87 13.7762 866.555337 5.964859 1.34171677 135.202240 22.666433 126.713928 1.671803 0.000000
88 2.1515 866.557488 5.964859 1.35490644 135.215057 22.667774 126.714691 1.671800 0.000000
89 6.2538 866.563742 5.964859 1.39324450 135.252335 22.671665 126.716896 1.671793 0.000000
90 8.2889 866.572031 5.916658 1.34189427 135.301498 22.677063 126.719620 1.671782 0.000000
91 8.3289 866.580360 5.916658 1.39296591 135.350769 22.682619 126.722229 1.671770 0.000000
92 8.3333 866.588693 5.905545 1.34186995 135.400024 22.688074 126.724823 1.671771 0.000000
93 8.3000 866.596993 5.905545 1.39276898 135.449036 22.693451 126.727371 1.671779 0.000000
94 8.4020 866.605395 5.989276 1.34212589 135.499100 22.694857 126.730118 1.671788 0.000000
95 15.1445 866.620540 5.962990 1.33279896 135.589661 22.694443 126.735268 1.671798 0.000000
96 1.4916 866.622031 5.962990 1.34196389 135.598541 22.694719 126.735794 1.671797 0.000000
97 16.7966 866.638828 5.962943 1.34278715 135.698608 22.697309 126.741753 1.671785 0.000000
98 8.2132 866.647041 5.962943 1.39328945 135.747543 22.698038 126.744713 1.671773 0.000000
99 8.3313 866.655373 5.958532 1.34205687 135.797134 22.698551 126.747803 1.671762 0.000000
100 8.4140 866.663787 5.958532 1.39382696 135.847214 22.698946 126.750977 1.671750 0.000000
101 8.2837 866.672070 5.959395 1.34226847 135.896515 22.698980 126.754211 1.671737 0.000000
102 8.2867 866.680357 5.959395 1.39328635 135.945816 22.698826 126.757477 1.671725 0.000000
103 8.3099 866.688667 5.965343 1.34185851 135.995300 22.698311 126.760857 1.671712 0.000000
104 8.9343 866.697601 5.965343 1.39689982 136.048492 22.697542 126.764534 1.671698 0.000000
105 7.8181 866.705419 5.964433 1.34240723 136.095016 22.696980 126.767899 1.671688 0.000000
106 8.2907 866.713710 5.964433 1.39351416 136.144348 22.696434 126.771545 1.671678 0.000000
107 10.2265 866.723937 5.964433 1.35384011 136.205185 22.696018 126.776237 1.671666 0.000000
108 6.3615 866.730298 5.964433 1.39307725 136.243027 22.695824 126.779213 1.671658 0.000000
109 8.3692 866.738667 5.964386 1.34191728 136.292786 22.695900 126.783279 1.671648 0.000000
110 8.2952 866.746962 5.964386 1.39310932 136.342117 22.696163 126.787384 1.671638 0.000000
111 8.3369 866.755299 5.964386 1.34172082 136.391647 22.696884 126.791702 1.671628 0.000000
112 8.4121 866.763711 5.964386 1.39366078 136.441635 22.697874 126.796165 1.671617 0.000000
113 8.2952 866.772007 5.964386 1.34198761 136.490891 22.699398 126.800735 1.671607 0.000000
