[поза] дверь DFN_SEAT_TAKE: доворот взгляда 0.0° тангаж, -90.0° рыск
[поза] дверь DFN_SEAT_TAKE=lie:0,-90: подвёл к furn-bed, до габарита 0.55 м, прицел ГОРИТ; стою 30 кадров и жму E
[поза] дверь DFN_SEAT_TAKE: жму E
[поза] ЛЁГ на furn-bed: точка (129.02 -999.35 134.59), площадка 0.509 м, рыск -0.000; выход в (130.15 -999.34 134.59)
[поза-след] t=0.6167 blend=0.6852 take=1.0000 drop=0.9789 plan=0.9789 recline=0.5235 таз=-998.7128 глаз=-998.1104
[поза-след] t=0.6333 blend=0.7037 take=1.0000 drop=0.9890 plan=0.9890 recline=0.5661 таз=-998.7162 глаз=-998.1455
[поза-след] t=0.6500 blend=0.7222 take=1.0000 drop=0.9960 plan=0.9960 recline=0.6082 таз=-998.7184 глаз=-998.1818
[поза-след] t=0.6667 blend=0.7407 take=1.0000 drop=0.9995 plan=0.9995 recline=0.6496 таз=-998.7196 глаз=-998.2189
[поза-след] t=0.6833 blend=0.7593 take=1.0000 drop=1.0000 plan=1.0000 recline=0.6901 таз=-998.7197 глаз=-998.2565
[поза-след] t=0.7000 blend=0.7778 take=1.0000 drop=1.0000 plan=1.0000 recline=0.7293 таз=-998.7197 глаз=-998.2947
[поза-след] t=0.7167 blend=0.7963 take=1.0000 drop=1.0000 plan=1.0000 recline=0.7669 таз=-998.7197 глаз=-998.3331
[поза-след] t=0.7333 blend=0.8148 take=1.0000 drop=1.0000 plan=1.0000 recline=0.8027 таз=-998.7197 глаз=-998.3711
[поза-след] t=0.7500 blend=0.8333 take=1.0000 drop=1.0000 plan=1.0000 recline=0.8365 таз=-998.7197 глаз=-998.4080
[поза-след] t=0.7667 blend=0.8519 take=1.0000 drop=1.0000 plan=1.0000 recline=0.8678 таз=-998.7197 глаз=-998.4434
[поза-след] t=0.7833 blend=0.8704 take=1.0000 drop=1.0000 plan=1.0000 recline=0.8965 таз=-998.7197 глаз=-998.4763
[поза-след] t=0.8000 blend=0.8889 take=1.0000 drop=1.0000 plan=1.0000 recline=0.9223 таз=-998.7197 глаз=-998.5065
[поза-след] t=0.8167 blend=0.9074 take=1.0000 drop=1.0000 plan=1.0000 recline=0.9449 таз=-998.7197 глаз=-998.5333
[поза-след] t=0.8333 blend=0.9259 take=1.0000 drop=1.0000 plan=1.0000 recline=0.9640 таз=-998.7197 глаз=-998.5561
[поза-след] t=0.8500 blend=0.9444 take=1.0000 drop=1.0000 plan=1.0000 recline=0.9793 таз=-998.7197 глаз=-998.5746
[поза-след] t=0.8667 blend=0.9630 take=1.0000 drop=1.0000 plan=1.0000 recline=0.9906 таз=-998.7197 глаз=-998.5882
[поза-след] t=0.8833 blend=0.9815 take=1.0000 drop=1.0000 plan=1.0000 recline=0.9976 таз=-998.7197 глаз=-998.5967
[поза-след] t=0.9000 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=0.9167 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=0.9333 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=0.9500 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=0.9667 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=0.9833 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.0000 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.0167 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.0333 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.0500 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.0667 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.0833 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.1000 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.1167 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.1333 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.1500 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.1667 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.1833 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.2000 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.2167 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.2333 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.2500 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.2667 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.2833 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.3000 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.3167 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.3333 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.3500 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.3667 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.3833 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.4000 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.4167 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.4333 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.4500 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.4667 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.4833 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.5000 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.5167 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.5333 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.5500 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.5667 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
[поза-след] t=1.5833 blend=1.0000 take=1.0000 drop=1.0000 plan=1.0000 recline=1.0000 таз=-998.7197 глаз=-998.5997
