# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
64 8.3248 865.733488 5.970949 1.40933299 133.981598 22.545723 126.610107 1.672051 0.000000
65 8.3568 865.741844 5.970949 1.40943229 134.031189 22.546764 126.615829 1.672044 0.000000
66 8.5856 865.750430 5.970949 1.40953398 134.082123 22.547884 126.621689 1.672036 0.000000
67 8.2977 865.758728 5.970949 1.40962732 134.131409 22.549824 126.627083 1.672028 0.000000
68 8.1385 865.766866 5.970949 1.40971875 134.179749 22.551752 126.632370 1.672020 0.000000
69 8.2916 865.775158 5.970949 1.40980697 134.229004 22.554655 126.637466 1.672013 0.000000
70 8.6088 865.783767 5.970901 1.40989816 134.280136 22.557720 126.642738 1.672004 0.000000
71 8.4928 865.792260 5.970901 1.40998363 134.330627 22.561676 126.647659 1.671996 0.000000
72 7.9328 865.800192 5.970901 1.41006327 134.377792 22.565393 126.652252 1.671989 0.000000
73 8.3411 865.808533 5.970901 1.41014254 134.427399 22.570179 126.656792 1.671981 0.000000
74 8.5883 865.817122 5.970901 1.41022408 134.478500 22.575150 126.661453 1.671973 0.000000
75 8.3367 865.825458 5.970901 1.41029906 134.528107 22.580704 126.665726 1.671965 0.000000
76 8.0700 865.833528 5.970901 1.41037166 134.576126 22.586096 126.669846 1.671957 0.000000
77 8.5970 865.842125 5.970901 1.41044486 134.627319 22.592438 126.673973 1.671949 0.000000
78 8.1053 865.850231 5.970901 1.41051364 134.675583 22.598431 126.677856 1.671941 0.000000
79 8.3277 865.858558 5.970901 1.41058075 134.725189 22.604954 126.681610 1.671933 0.000000
80 8.2988 865.866857 5.968170 1.41064739 134.774628 22.611462 126.685349 1.671925 0.000000
81 8.5555 865.875413 5.968170 1.41071069 134.825592 22.618496 126.688965 1.671916 0.000000
82 8.2018 865.883615 5.950354 1.41077077 134.874435 22.625269 126.692444 1.671908 0.000000
83 8.2144 865.891829 5.950354 1.41081643 134.923218 22.632973 126.695908 1.671900 0.000000
84 8.6040 865.900433 5.964140 1.41086459 134.974335 22.640942 126.699532 1.671890 0.000000
85 8.1234 865.908556 5.964140 1.41091621 135.022705 22.646671 126.702728 1.671868 0.000000
86 8.5358 865.917092 5.970181 1.41097069 135.073563 22.652664 126.706070 1.671844 0.000000
87 8.1068 865.925199 5.970181 1.41102350 135.121918 22.657879 126.709045 1.671827 0.000000
88 8.3034 865.933502 5.964859 1.41107750 135.171432 22.663216 126.712082 1.671809 0.000000
89 8.6143 865.942117 5.964859 1.41112697 135.222778 22.668579 126.715141 1.671799 0.000000
90 8.0834 865.950200 5.916658 1.41117227 135.270935 22.673618 126.718002 1.671789 0.000000
91 8.3322 865.958532 5.916658 1.41118491 135.320236 22.679176 126.720612 1.671777 0.000000
92 8.5980 865.967130 5.905545 1.41119778 135.371094 22.684900 126.723297 1.671767 0.000000
93 8.0351 865.975165 5.905545 1.41120207 135.418549 22.690107 126.725784 1.671774 0.000000
94 8.6132 865.983779 5.989276 1.41120982 135.469467 22.695356 126.728455 1.671782 0.000000
95 8.0823 865.991861 5.989276 1.41126859 135.517853 22.694542 126.731171 1.671791 0.000000
96 8.3406 866.000201 5.962990 1.41132879 135.567780 22.693760 126.733971 1.671799 0.000000
97 8.5536 866.008755 5.962990 1.41136956 135.618744 22.695351 126.736984 1.671796 0.000000
98 8.1692 866.016924 5.962943 1.41140842 135.667419 22.696842 126.739853 1.671792 0.000000
99 8.2429 866.025167 5.962943 1.41144562 135.716522 22.697575 126.742836 1.671781 0.000000
100 8.3486 866.033516 5.958532 1.41148317 135.766251 22.698311 126.745850 1.671769 0.000000
101 8.6705 866.042186 5.958532 1.41151690 135.817841 22.698715 126.749115 1.671757 0.000000
102 8.2174 866.050404 5.959395 1.41154897 135.866760 22.699074 126.752235 1.671745 0.000000
103 8.2297 866.058633 5.959395 1.41157997 135.915726 22.698919 126.755478 1.671732 0.000000
104 8.1900 866.066823 5.965343 1.41161084 135.964462 22.698753 126.758720 1.671720 0.000000
105 8.3759 866.075199 5.965343 1.41164470 136.014343 22.698036 126.762177 1.671707 0.000000
106 8.5576 866.083757 5.964433 1.41167903 136.065292 22.697309 126.765717 1.671694 0.000000
107 8.0671 866.091824 5.964433 1.41170931 136.113281 22.696779 126.769257 1.671684 0.000000
108 8.3768 866.100201 5.964433 1.41174066 136.163132 22.696236 126.772926 1.671674 0.000000
109 8.5914 866.108792 5.964433 1.41177106 136.214233 22.695972 126.776947 1.671664 0.000000
110 8.0574 866.116850 5.964386 1.41179967 136.262177 22.695736 126.780724 1.671654 0.000000
111 8.5791 866.125429 5.964386 1.41182840 136.313171 22.696009 126.784973 1.671644 0.000000
112 8.0912 866.133520 5.964386 1.41185546 136.361282 22.696281 126.788994 1.671634 0.000000
113 8.3085 866.141828 5.964386 1.41188169 136.410645 22.697260 126.793396 1.671624 0.000000
114 8.6046 866.150433 5.964386 1.41190886 136.461761 22.698318 126.797974 1.671613 0.000000
115 8.1229 866.158556 5.964386 1.41193318 136.509979 22.700109 126.802551 1.671603 0.000000
116 8.5255 866.167081 5.964386 1.41195881 136.560608 22.702038 126.807388 1.671593 0.000000
117 8.5354 866.175617 5.964386 1.41198301 136.611267 22.704895 126.812500 1.671582 0.000000
118 7.9065 866.183523 5.964338 1.41200531 136.658188 22.707563 126.817238 1.671572 0.000000
119 8.3150 866.191838 5.964338 1.41202760 136.707489 22.711323 126.822510 1.671562 0.000000
120 8.6179 866.200456 5.955374 1.41205025 136.758606 22.715302 126.827972 1.671551 0.000000
121 8.3232 866.208779 5.955374 1.41206539 136.807861 22.720539 126.833557 1.671540 0.000000
122 8.1625 866.216942 5.957148 1.41208005 136.856155 22.725697 126.839035 1.671530 0.000000
123 8.4743 866.225416 5.957148 1.41209579 136.906311 22.731712 126.844994 1.671517 0.000000
124 8.1827 866.233599 5.957100 1.41211092 136.954742 22.737541 126.850769 1.671505 0.000000
125 8.2271 866.241826 5.957100 1.41212535 137.003372 22.744066 126.856812 1.671493 0.000000
126 9.5510 866.251377 5.957100 1.41214204 137.059845 22.751722 126.863869 1.671480 0.000000
127 15.4838 866.266861 5.957964 1.41216755 137.151352 22.764925 126.875732 1.671458 0.000000
128 8.4639 866.275325 5.957964 1.41218150 137.201355 22.772366 126.882462 1.671445 0.000000
129 8.2002 866.283525 5.957964 1.41219485 137.249817 22.779575 126.888969 1.671433 0.000000
130 8.3061 866.291831 5.957964 1.41220772 137.298859 22.786915 126.895775 1.671421 0.000000
131 8.3623 866.300193 5.957916 1.41222060 137.348236 22.794298 126.902626 1.671409 0.000000
132 8.5535 866.308747 5.957916 1.41223311 137.398743 22.801620 126.909813 1.671397 0.000000
