# Daggerfall N per-frame ENVIRONMENT log -- one line per
# PRESENTED frame, taken at the set_environment() call.
# frame dark lights sun_x sun_y sun_z sun_lum amb_lum moon_light eye_x eye_y eye_z
60 0.000000 0 0.7855 0.5160 0.3416 0.9627 0.3586 0.0000 801.000 25.941 296.624
61 0.000000 0 0.7855 0.5161 0.3416 0.9627 0.3586 0.0000 801.010 25.945 296.616
62 0.000000 0 0.7854 0.5161 0.3416 0.9627 0.3586 0.0000 801.046 25.958 296.582
63 0.000000 0 0.7854 0.5162 0.3416 0.9627 0.3586 0.0000 801.070 25.968 296.561
64 0.000000 0 0.7854 0.5162 0.3416 0.9627 0.3586 0.0000 801.100 25.981 296.534
65 0.000000 0 0.7854 0.5162 0.3416 0.9627 0.3586 0.0000 801.126 25.993 296.511
66 0.000000 0 0.7853 0.5163 0.3416 0.9627 0.3586 0.0000 801.159 26.010 296.481
67 0.000000 0 0.7853 0.5163 0.3416 0.9627 0.3586 0.0000 801.192 26.028 296.454
68 0.000000 0 0.7853 0.5164 0.3416 0.9627 0.3586 0.0000 801.225 26.047 296.425
69 0.000000 0 0.7852 0.5164 0.3416 0.9627 0.3586 0.0000 801.258 26.066 296.400
70 0.000000 0 0.7852 0.5164 0.3416 0.9627 0.3586 0.0000 801.263 26.068 296.398
71 0.000000 0 0.7852 0.5165 0.3416 0.9627 0.3586 0.0000 801.273 26.072 296.393
72 0.000000 0 0.7852 0.5165 0.3416 0.9627 0.3586 0.0000 801.286 26.078 296.388
73 0.000000 0 0.7852 0.5165 0.3416 0.9627 0.3586 0.0000 801.337 26.101 296.367
74 0.000000 0 0.7851 0.5166 0.3416 0.9627 0.3586 0.0000 801.386 26.125 296.339
75 0.000000 0 0.7851 0.5166 0.3416 0.9627 0.3586 0.0000 801.426 26.143 296.318
76 0.000000 0 0.7851 0.5167 0.3416 0.9627 0.3586 0.0000 801.466 26.161 296.296
77 0.000000 0 0.7851 0.5168 0.3415 0.9627 0.3586 0.0000 801.512 26.179 296.271
78 0.000000 0 0.7850 0.5168 0.3415 0.9627 0.3586 0.0000 801.555 26.194 296.247
79 0.000000 0 0.7850 0.5169 0.3415 0.9627 0.3586 0.0000 801.597 26.207 296.224
80 0.000000 0 0.7849 0.5169 0.3415 0.9627 0.3586 0.0000 801.650 26.222 296.195
81 0.000000 0 0.7849 0.5169 0.3415 0.9627 0.3586 0.0000 801.659 26.225 296.189
82 0.000000 0 0.7849 0.5170 0.3415 0.9627 0.3586 0.0000 801.671 26.228 296.183
83 0.000000 0 0.7849 0.5170 0.3415 0.9627 0.3586 0.0000 801.682 26.231 296.177
84 0.000000 0 0.7849 0.5170 0.3415 0.9627 0.3586 0.0000 801.716 26.239 296.158
85 0.000000 0 0.7849 0.5171 0.3415 0.9627 0.3586 0.0000 801.754 26.249 296.136
86 0.000000 0 0.7848 0.5171 0.3415 0.9627 0.3586 0.0000 801.793 26.260 296.113
87 0.000000 0 0.7848 0.5172 0.3415 0.9627 0.3586 0.0000 801.829 26.271 296.091
88 0.000000 0 0.7848 0.5172 0.3415 0.9627 0.3586 0.0000 801.861 26.281 296.071
89 0.000000 0 0.7848 0.5173 0.3415 0.9627 0.3586 0.0000 801.898 26.295 296.048
90 0.000000 0 0.7847 0.5173 0.3415 0.9627 0.3586 0.0000 801.935 26.310 296.024
91 0.000000 0 0.7847 0.5173 0.3415 0.9627 0.3586 0.0000 801.969 26.325 296.002
92 0.000000 0 0.7847 0.5174 0.3415 0.9627 0.3586 0.0000 801.973 26.327 295.999
93 0.000000 0 0.7847 0.5174 0.3415 0.9627 0.3586 0.0000 801.983 26.331 295.992
94 0.000000 0 0.7847 0.5174 0.3415 0.9627 0.3586 0.0000 801.993 26.336 295.985
95 0.000000 0 0.7846 0.5174 0.3415 0.9627 0.3586 0.0000 802.028 26.353 295.962
96 0.000000 0 0.7846 0.5175 0.3415 0.9627 0.3586 0.0000 802.052 26.366 295.945
97 0.000000 0 0.7846 0.5175 0.3414 0.9627 0.3586 0.0000 802.084 26.383 295.922
98 0.000000 0 0.7846 0.5176 0.3414 0.9627 0.3586 0.0000 802.117 26.401 295.899
99 0.000000 0 0.7846 0.5176 0.3414 0.9627 0.3586 0.0000 802.144 26.415 295.879
100 0.000000 0 0.7845 0.5176 0.3414 0.9627 0.3586 0.0000 802.167 26.427 295.862
101 0.000000 0 0.7845 0.5177 0.3414 0.9627 0.3586 0.0000 802.192 26.440 295.844
102 0.000000 0 0.7845 0.5177 0.3414 0.9627 0.3586 0.0000 802.220 26.453 295.824
103 0.000000 0 0.7845 0.5177 0.3414 0.9627 0.3586 0.0000 802.226 26.456 295.819
104 0.000000 0 0.7845 0.5177 0.3414 0.9627 0.3586 0.0000 802.247 26.465 295.804
105 0.000000 0 0.7844 0.5178 0.3414 0.9627 0.3586 0.0000 802.276 26.478 295.782
106 0.000000 0 0.7844 0.5178 0.3414 0.9627 0.3586 0.0000 802.303 26.488 295.762
107 0.000000 0 0.7844 0.5179 0.3414 0.9627 0.3586 0.0000 802.333 26.499 295.739
108 0.000000 0 0.7844 0.5179 0.3414 0.9627 0.3586 0.0000 802.361 26.509 295.719
109 0.000000 0 0.7843 0.5179 0.3414 0.9627 0.3586 0.0000 802.393 26.518 295.695
110 0.000000 0 0.7843 0.5180 0.3414 0.9627 0.3586 0.0000 802.420 26.526 295.676
111 0.000000 0 0.7843 0.5180 0.3414 0.9627 0.3586 0.0000 802.451 26.535 295.653
112 0.000000 0 0.7843 0.5181 0.3414 0.9627 0.3586 0.0000 802.485 26.545 295.629
113 0.000000 0 0.7843 0.5181 0.3414 0.9627 0.3586 0.0000 802.489 26.546 295.627
114 0.000000 0 0.7842 0.5181 0.3414 0.9627 0.3586 0.0000 802.516 26.554 295.608
115 0.000000 0 0.7842 0.5182 0.3414 0.9627 0.3586 0.0000 802.554 26.567 295.581
116 0.000000 0 0.7842 0.5182 0.3414 0.9627 0.3586 0.0000 802.592 26.580 295.556
117 0.000000 0 0.7841 0.5183 0.3413 0.9627 0.3586 0.0000 802.625 26.593 295.534
118 0.000000 0 0.7841 0.5183 0.3413 0.9627 0.3586 0.0000 802.664 26.609 295.508
119 0.000000 0 0.7841 0.5184 0.3413 0.9627 0.3586 0.0000 802.697 26.624 295.487
120 0.000000 0 0.7841 0.5184 0.3413 0.9627 0.3586 0.0000 802.728 26.639 295.468
121 0.000000 0 0.7840 0.5184 0.3413 0.9627 0.3586 0.0000 802.758 26.653 295.449
122 0.000000 0 0.7840 0.5185 0.3413 0.9627 0.3586 0.0000 802.768 26.658 295.443
123 0.000000 0 0.7840 0.5185 0.3413 0.9627 0.3586 0.0000 802.779 26.664 295.437
124 0.000000 0 0.7840 0.5185 0.3413 0.9627 0.3586 0.0000 802.815 26.682 295.415
125 0.000000 0 0.7840 0.5186 0.3413 0.9627 0.3586 0.0000 802.849 26.700 295.394
126 0.000000 0 0.7839 0.5186 0.3413 0.9627 0.3586 0.0000 802.885 26.718 295.373
127 0.000000 0 0.7839 0.5187 0.3413 0.9627 0.3586 0.0000 802.931 26.741 295.346
128 0.000000 0 0.7839 0.5187 0.3413 0.9627 0.3586 0.0000 802.969 26.758 295.324
129 0.000000 0 0.7838 0.5188 0.3413 0.9627 0.3586 0.0000 803.004 26.773 295.304
130 0.000000 0 0.7838 0.5188 0.3413 0.9627 0.3586 0.0000 803.042 26.787 295.282
131 0.000000 0 0.7838 0.5188 0.3413 0.9627 0.3586 0.0000 803.072 26.798 295.264
132 0.000000 0 0.7838 0.5189 0.3413 0.9627 0.3586 0.0000 803.082 26.801 295.258
