# call qx qy qz carve_dist ground_y above_ground path_m path_measured darkness
85 801.631 24.556 296.209 +2.392870 24.513 1 0.000 0 0.000000
86 801.675 24.573 296.181 +2.383398 24.530 1 0.000 0 0.000000
87 801.719 24.590 296.153 +2.373924 24.547 1 0.000 0 0.000000
88 801.741 24.598 296.139 +2.369183 24.556 1 0.000 0 0.000000
89 801.785 24.616 296.112 +2.359692 24.573 1 0.000 0 0.000000
90 801.829 24.633 296.084 +2.350178 24.590 1 0.000 0 0.000000
91 801.851 24.641 296.070 +2.345427 24.599 1 0.000 0 0.000000
92 801.895 24.659 296.042 +2.335901 24.616 1 0.000 0 0.000000
93 801.895 24.659 296.042 +2.335901 24.616 1 0.000 0 0.000000
94 801.895 24.659 296.042 +2.335901 24.616 1 0.000 0 0.000000
95 801.917 24.667 296.027 +2.331236 24.625 1 0.000 0 0.000000
96 801.961 24.684 295.999 +2.321789 24.642 1 0.000 0 0.000000
97 801.983 24.693 295.985 +2.317068 24.651 1 0.000 0 0.000000
98 802.005 24.701 295.971 +2.312338 24.659 1 0.000 0 0.000000
99 802.049 24.719 295.943 +2.302866 24.677 1 0.000 0 0.000000
100 802.071 24.727 295.929 +2.298124 24.685 1 0.000 0 0.000000
101 802.093 24.736 295.915 +2.293381 24.694 1 0.000 0 0.000000
102 802.115 24.744 295.900 +2.288641 24.703 1 0.000 0 0.000000
103 802.158 24.762 295.872 +2.279137 24.720 1 0.000 0 0.000000
104 802.158 24.762 295.872 +2.279137 24.720 1 0.000 0 0.000000
105 802.180 24.770 295.858 +2.274378 24.729 1 0.000 0 0.000000
106 802.202 24.779 295.844 +2.269615 24.738 1 0.000 0 0.000000
107 802.246 24.796 295.815 +2.260090 24.755 1 0.000 0 0.000000
108 802.268 24.805 295.801 +2.255318 24.764 1 0.000 0 0.000000
109 802.289 24.814 295.787 +2.250168 24.773 1 0.000 0 0.000000
110 802.333 24.831 295.759 +2.240648 24.790 1 0.000 0 0.000000
111 802.355 24.840 295.745 +2.235662 24.799 1 0.000 0 0.000000
112 802.398 24.857 295.717 +2.225693 24.816 1 0.000 0 0.000000
113 802.420 24.866 295.703 +2.220695 24.825 1 0.000 0 0.000000
114 802.442 24.875 295.689 +2.215702 24.834 1 0.000 0 0.000000
115 802.463 24.884 295.675 +2.210697 24.842 1 0.000 0 0.000000
116 802.507 24.901 295.646 +2.200861 24.860 1 0.000 0 0.000000
117 802.529 24.910 295.632 +2.195932 24.869 1 0.000 0 0.000000
118 802.572 24.928 295.604 +2.186045 24.886 1 0.000 0 0.000000
119 802.615 24.945 295.576 +2.176155 24.904 1 0.000 0 0.000000
120 802.637 24.954 295.562 +2.171202 24.913 1 0.000 0 0.000000
121 802.680 24.972 295.533 +2.161293 24.930 1 0.000 0 0.000000
122 802.702 24.980 295.519 +2.156321 24.939 1 0.000 0 0.000000
123 802.702 24.980 295.519 +2.156321 24.939 1 0.000 0 0.000000
124 802.723 24.989 295.505 +2.151358 24.948 1 0.000 0 0.000000
125 802.767 25.007 295.476 +2.141415 24.966 1 0.000 0 0.000000
