# Daggerfall N per-frame ENVIRONMENT log -- one line per
# PRESENTED frame, taken at the set_environment() call.
# frame dark lights sun_x sun_y sun_z sun_lum amb_lum moon_light eye_x eye_y eye_z
60 0.000000 0 0.7803 0.5245 0.3405 0.9627 0.3586 0.0000 801.288 26.079 296.387
61 0.000000 0 0.7803 0.5246 0.3405 0.9627 0.3586 0.0000 801.365 26.115 296.351
62 0.000000 0 0.7802 0.5247 0.3405 0.9627 0.3586 0.0000 801.429 26.144 296.316
63 0.000000 0 0.7802 0.5248 0.3405 0.9627 0.3586 0.0000 801.494 26.172 296.280
64 0.000000 0 0.7801 0.5249 0.3405 0.9627 0.3586 0.0000 801.560 26.196 296.245
65 0.000000 0 0.7801 0.5249 0.3404 0.9627 0.3586 0.0000 801.618 26.213 296.213
66 0.000000 0 0.7801 0.5249 0.3404 0.9627 0.3586 0.0000 801.623 26.215 296.210
67 0.000000 0 0.7801 0.5249 0.3404 0.9627 0.3586 0.0000 801.624 26.215 296.209
68 0.000000 0 0.7801 0.5249 0.3404 0.9627 0.3586 0.0000 801.624 26.215 296.209
69 0.000000 0 0.7801 0.5249 0.3404 0.9627 0.3586 0.0000 801.629 26.217 296.206
70 0.000000 0 0.7800 0.5250 0.3404 0.9627 0.3586 0.0000 801.695 26.234 296.169
71 0.000000 0 0.7800 0.5251 0.3404 0.9627 0.3586 0.0000 801.742 26.246 296.143
72 0.000000 0 0.7800 0.5252 0.3404 0.9627 0.3586 0.0000 801.796 26.261 296.111
73 0.000000 0 0.7799 0.5252 0.3404 0.9627 0.3586 0.0000 801.846 26.276 296.080
74 0.000000 0 0.7799 0.5253 0.3404 0.9627 0.3586 0.0000 801.910 26.299 296.040
75 0.000000 0 0.7798 0.5254 0.3404 0.9627 0.3586 0.0000 801.975 26.328 295.998
76 0.000000 0 0.7797 0.5255 0.3404 0.9627 0.3586 0.0000 802.044 26.362 295.951
77 0.000000 0 0.7797 0.5256 0.3404 0.9627 0.3586 0.0000 802.100 26.392 295.911
78 0.000000 0 0.7797 0.5256 0.3404 0.9627 0.3586 0.0000 802.107 26.395 295.906
79 0.000000 0 0.7797 0.5256 0.3404 0.9627 0.3586 0.0000 802.107 26.395 295.906
80 0.000000 0 0.7797 0.5256 0.3404 0.9627 0.3586 0.0000 802.108 26.396 295.906
81 0.000000 0 0.7797 0.5256 0.3404 0.9627 0.3586 0.0000 802.112 26.398 295.903
82 0.000000 0 0.7796 0.5257 0.3403 0.9627 0.3586 0.0000 802.178 26.433 295.855
83 0.000000 0 0.7796 0.5258 0.3403 0.9627 0.3586 0.0000 802.251 26.467 295.800
84 0.000000 0 0.7795 0.5259 0.3403 0.9627 0.3586 0.0000 802.323 26.496 295.746
85 0.000000 0 0.7794 0.5260 0.3403 0.9627 0.3586 0.0000 802.398 26.520 295.691
86 0.000000 0 0.7794 0.5261 0.3403 0.9627 0.3586 0.0000 802.475 26.542 295.636
87 0.000000 0 0.7793 0.5262 0.3403 0.9627 0.3586 0.0000 802.542 26.563 295.590
88 0.000000 0 0.7793 0.5263 0.3403 0.9627 0.3586 0.0000 802.599 26.582 295.551
89 0.000000 0 0.7792 0.5264 0.3402 0.9627 0.3586 0.0000 802.668 26.611 295.506
90 0.000000 0 0.7792 0.5264 0.3402 0.9627 0.3586 0.0000 802.674 26.613 295.502
91 0.000000 0 0.7792 0.5264 0.3402 0.9627 0.3586 0.0000 802.675 26.614 295.502
92 0.000000 0 0.7792 0.5264 0.3402 0.9627 0.3586 0.0000 802.675 26.614 295.501
93 0.000000 0 0.7792 0.5264 0.3402 0.9627 0.3586 0.0000 802.681 26.616 295.498
94 0.000000 0 0.7792 0.5264 0.3402 0.9627 0.3586 0.0000 802.738 26.643 295.462
95 0.000000 0 0.7791 0.5265 0.3402 0.9627 0.3586 0.0000 802.808 26.679 295.419
96 0.000000 0 0.7790 0.5266 0.3402 0.9627 0.3586 0.0000 802.885 26.719 295.373
97 0.000000 0 0.7790 0.5267 0.3402 0.9627 0.3586 0.0000 802.959 26.754 295.330
98 0.000000 0 0.7789 0.5268 0.3402 0.9627 0.3586 0.0000 803.026 26.781 295.291
99 0.000000 0 0.7789 0.5269 0.3402 0.9627 0.3586 0.0000 803.109 26.810 295.242
100 0.000000 0 0.7788 0.5270 0.3402 0.9627 0.3586 0.0000 803.189 26.834 295.195
101 0.000000 0 0.7787 0.5271 0.3401 0.9627 0.3586 0.0000 803.260 26.853 295.151
102 0.000000 0 0.7787 0.5271 0.3401 0.9627 0.3586 0.0000 803.268 26.856 295.146
103 0.000000 0 0.7787 0.5273 0.3401 0.9627 0.3586 0.0000 803.352 26.884 295.091
104 0.000000 0 0.7786 0.5273 0.3401 0.9627 0.3586 0.0000 803.417 26.911 295.047
105 0.000000 0 0.7785 0.5274 0.3401 0.9627 0.3586 0.0000 803.495 26.949 294.993
106 0.000000 0 0.7785 0.5276 0.3401 0.9627 0.3586 0.0000 803.574 26.994 294.934
107 0.000000 0 0.7784 0.5277 0.3401 0.9627 0.3586 0.0000 803.642 27.033 294.881
108 0.000000 0 0.7784 0.5277 0.3401 0.9627 0.3586 0.0000 803.702 27.065 294.834
109 0.000000 0 0.7783 0.5278 0.3400 0.9627 0.3586 0.0000 803.765 27.095 294.784
110 0.000000 0 0.7782 0.5279 0.3400 0.9627 0.3586 0.0000 803.828 27.121 294.734
111 0.000000 0 0.7782 0.5279 0.3400 0.9627 0.3586 0.0000 803.835 27.123 294.728
112 0.000000 0 0.7782 0.5279 0.3400 0.9627 0.3586 0.0000 803.835 27.123 294.728
113 0.000000 0 0.7782 0.5279 0.3400 0.9627 0.3586 0.0000 803.836 27.124 294.727
114 0.000000 0 0.7782 0.5279 0.3400 0.9627 0.3586 0.0000 803.840 27.125 294.724
