# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
64 8.2758 865.893166 0.004578 1.30900002 127.996124 22.357479 127.902924 0.000000 0.000000
65 8.3667 865.901532 0.004578 1.30900002 127.996086 22.357477 127.902954 0.000000 0.000000
66 8.2972 865.909829 0.004578 1.30900002 127.996056 22.357479 127.902969 0.000000 0.000000
67 8.3437 865.918173 0.004578 1.30900002 127.996025 22.357475 127.902992 0.000000 0.000000
68 8.3462 865.926519 0.004578 1.30900002 127.996002 22.357475 127.903015 0.000000 0.000000
69 8.3321 865.934851 0.004578 1.30900002 127.995972 22.357475 127.903046 0.000000 0.000000
70 8.3315 865.943183 0.004578 1.30900002 127.995934 22.357473 127.903061 0.000000 0.000000
71 8.2958 865.951479 0.004578 1.30900002 127.995911 22.357471 127.903084 0.000000 0.000000
72 8.3628 865.959842 0.004578 1.30900002 127.995880 22.357471 127.903107 0.000000 0.000000
73 8.5618 865.968403 0.004578 1.30900002 127.995850 22.357470 127.903137 0.000000 0.000000
74 8.3747 865.976778 0.004578 1.30900002 127.995811 22.357468 127.903160 0.000000 0.000000
75 8.2537 865.985032 0.004578 1.30900002 127.995781 22.357466 127.903175 0.000000 0.000000
76 8.3494 865.993381 0.004578 1.30900002 127.995750 22.357466 127.903206 0.000000 0.000000
77 8.3195 866.001701 0.004578 1.30900002 127.995720 22.357464 127.903221 0.000000 0.000000
78 8.3100 866.010011 0.004578 1.30900002 127.995697 22.357464 127.903244 0.000000 0.000000
79 8.4692 866.018480 0.004578 1.30900002 127.995659 22.357464 127.903267 0.000000 0.000000
80 8.3213 866.026801 0.004578 1.30900002 127.995636 22.357462 127.903290 0.000000 0.000000
81 8.1180 866.034919 0.004578 1.30900002 127.995598 22.357458 127.903320 0.000000 0.000000
82 8.2520 866.043171 0.004578 1.30900002 127.995567 22.357458 127.903336 0.000000 0.000000
83 8.5850 866.051756 0.004578 1.30900002 127.995544 22.357456 127.903366 0.000000 0.000000
84 8.0945 866.059851 0.004578 1.30900002 127.995506 22.357456 127.903381 0.000000 0.000000
85 8.3232 866.068174 0.004578 1.30900002 127.995476 22.357456 127.903404 0.000000 0.000000
86 8.3469 866.076521 0.004578 1.30900002 127.995445 22.357456 127.903435 0.000000 0.000000
87 8.3554 866.084876 0.004578 1.30900002 127.995422 22.357454 127.903450 0.000000 0.000000
88 8.3227 866.093199 0.004578 1.30900002 127.995384 22.357452 127.903481 0.000000 0.000000
89 8.3185 866.101517 0.004578 1.30900002 127.995354 22.357452 127.903503 0.000000 0.000000
90 8.5823 866.110100 0.004578 1.30900002 127.995331 22.357452 127.903526 0.000000 0.000000
91 8.0417 866.118141 0.004578 1.30900002 127.995300 22.357450 127.903549 0.000000 0.000000
92 8.3847 866.126526 0.004578 1.30900002 127.995270 22.357449 127.903564 0.000000 0.000000
93 8.3275 866.134853 0.004578 1.30900002 127.995232 22.357447 127.903595 0.000000 0.000000
94 8.3132 866.143167 0.004578 1.30900002 127.995201 22.357445 127.903618 0.000000 0.000000
95 8.6102 866.151777 0.004578 1.30900002 127.995163 22.357443 127.903641 0.000000 0.000000
96 8.3638 866.160141 0.004578 1.30900002 127.995148 22.357445 127.903656 0.000000 0.000000
97 8.0230 866.168164 0.004578 1.30900002 127.995110 22.357443 127.903679 0.000000 0.000000
98 8.3606 866.176524 0.004578 1.30900002 127.995087 22.357441 127.903702 0.000000 0.000000
99 8.3496 866.184874 0.004578 1.30900002 127.995049 22.357441 127.903725 0.000000 0.000000
100 8.5258 866.193400 0.004578 1.30900002 127.995026 22.357441 127.903748 0.000000 0.000000
101 8.1767 866.201576 0.004578 1.30900002 127.994987 22.357437 127.903770 0.000000 0.000000
102 8.3187 866.209895 0.004578 1.30900002 127.994965 22.357437 127.903793 0.000000 0.000000
103 8.3330 866.218228 0.004578 1.30900002 127.994926 22.357435 127.903824 0.000000 0.000000
104 8.2915 866.226520 0.004578 1.30900002 127.994904 22.357433 127.903847 0.000000 0.000000
105 8.3884 866.234908 0.004578 1.30900002 127.994865 22.357433 127.903870 0.000000 0.000000
106 8.2870 866.243195 0.004578 1.30900002 127.994843 22.357433 127.903893 0.000000 0.000000
107 8.3101 866.251505 0.004578 1.30900002 127.994804 22.357431 127.903908 0.000000 0.000000
108 8.4217 866.259927 0.004578 1.30900002 127.994774 22.357430 127.903931 0.000000 0.000000
109 8.3138 866.268241 0.004578 1.30900002 127.994743 22.357430 127.903961 0.000000 0.000000
110 8.2869 866.276528 0.004578 1.30900002 127.994713 22.357430 127.903976 0.000000 0.000000
111 8.3402 866.284868 0.004578 1.30900002 127.994682 22.357426 127.903999 0.000000 0.000000
112 8.3677 866.293235 0.004578 1.30900002 127.994659 22.357426 127.904030 0.000000 0.000000
113 8.2857 866.301521 0.004578 1.30900002 127.994621 22.357424 127.904053 0.000000 0.000000
114 8.3482 866.309869 0.004578 1.30900002 127.994591 22.357422 127.904068 0.000000 0.000000
115 8.3237 866.318193 0.004578 1.30900002 127.994560 22.357422 127.904099 0.000000 0.000000
116 8.4049 866.326598 0.004578 1.30900002 127.994537 22.357422 127.904114 0.000000 0.000000
117 8.2744 866.334872 0.004578 1.30900002 127.994499 22.357422 127.904144 0.000000 0.000000
118 8.2937 866.343166 0.004578 1.30900002 127.994476 22.357418 127.904167 0.000000 0.000000
119 8.3920 866.351558 0.004578 1.30900002 127.994438 22.357418 127.904190 0.000000 0.000000
120 8.4048 866.359963 0.004578 1.30900002 127.994408 22.357418 127.904205 0.000000 0.000000
121 8.2018 866.368165 0.004578 1.30900002 127.994377 22.357416 127.904228 0.000000 0.000000
122 8.3696 866.376534 0.004578 1.30900002 127.994354 22.357414 127.904259 0.000000 0.000000
123 8.3015 866.384836 0.004578 1.30900002 127.994324 22.357412 127.904282 0.000000 0.000000
