# Daggerfall N per-frame ENVIRONMENT log -- one line per
# PRESENTED frame, taken at the set_environment() call.
# frame dark lights sun_x sun_y sun_z sun_lum amb_lum moon_light eye_x eye_y eye_z
60 0.000000 0 0.7756 0.5321 0.3395 0.9627 0.3586 0.0000 767.470 22.332 321.272
61 0.000000 0 0.7756 0.5323 0.3395 0.9627 0.3586 0.0000 767.478 22.334 321.279
62 0.000000 0 0.7755 0.5324 0.3394 0.9627 0.3586 0.0000 767.487 22.337 321.288
63 0.000000 0 0.7754 0.5325 0.3394 0.9627 0.3586 0.0000 767.488 22.339 321.287
64 0.000000 0 0.7753 0.5326 0.3394 0.9627 0.3586 0.0000 767.493 22.346 321.292
65 0.000000 0 0.7753 0.5326 0.3394 0.9627 0.3586 0.0000 767.494 22.347 321.293
66 0.000000 0 0.7753 0.5327 0.3394 0.9627 0.3586 0.0000 767.501 22.353 321.300
67 0.000000 0 0.7752 0.5328 0.3394 0.9627 0.3586 0.0000 767.508 22.354 321.307
68 0.000000 0 0.7752 0.5329 0.3394 0.9627 0.3586 0.0000 767.513 22.355 321.312
69 0.000000 0 0.7751 0.5330 0.3393 0.9627 0.3586 0.0000 767.520 22.356 321.319
70 0.000000 0 0.7750 0.5331 0.3393 0.9627 0.3586 0.0000 767.526 22.356 321.325
71 0.000000 0 0.7749 0.5332 0.3393 0.9627 0.3586 0.0000 767.533 22.356 321.332
72 0.000000 0 0.7749 0.5333 0.3393 0.9627 0.3586 0.0000 767.540 22.356 321.339
73 0.000000 0 0.7748 0.5334 0.3393 0.9627 0.3586 0.0000 767.546 22.356 321.345
74 0.000000 0 0.7748 0.5334 0.3393 0.9627 0.3586 0.0000 767.546 22.356 321.345
75 0.000000 0 0.7748 0.5335 0.3393 0.9627 0.3586 0.0000 767.547 22.356 321.346
76 0.000000 0 0.7748 0.5335 0.3393 0.9627 0.3586 0.0000 767.548 22.356 321.346
77 0.000000 0 0.7747 0.5336 0.3393 0.9627 0.3586 0.0000 767.553 22.356 321.352
78 0.000000 0 0.7747 0.5337 0.3393 0.9627 0.3586 0.0000 767.558 22.356 321.357
79 0.000000 0 0.7746 0.5338 0.3392 0.9627 0.3586 0.0000 767.562 22.356 321.361
80 0.000000 0 0.7745 0.5338 0.3392 0.9627 0.3586 0.0000 767.567 22.356 321.366
81 0.000000 0 0.7745 0.5340 0.3392 0.9627 0.3586 0.0000 767.572 22.356 321.371
82 0.000000 0 0.7744 0.5341 0.3392 0.9627 0.3586 0.0000 767.579 22.356 321.378
83 0.000000 0 0.7743 0.5343 0.3392 0.9627 0.3586 0.0000 767.586 22.356 321.385
84 0.000000 0 0.7742 0.5344 0.3392 0.9627 0.3586 0.0000 767.592 22.356 321.391
85 0.000000 0 0.7742 0.5344 0.3392 0.9627 0.3586 0.0000 767.592 22.356 321.391
86 0.000000 0 0.7741 0.5345 0.3391 0.9627 0.3586 0.0000 767.596 22.356 321.395
87 0.000000 0 0.7741 0.5346 0.3391 0.9627 0.3586 0.0000 767.599 22.356 321.398
88 0.000000 0 0.7740 0.5347 0.3391 0.9627 0.3586 0.0000 767.603 22.356 321.402
89 0.000000 0 0.7740 0.5348 0.3391 0.9627 0.3586 0.0000 767.606 22.423 321.408
90 0.000000 0 0.7739 0.5348 0.3391 0.9627 0.3586 0.0000 767.604 22.621 321.416
91 0.000000 0 0.7739 0.5349 0.3391 0.9627 0.3586 0.0000 767.603 22.771 321.423
