# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
# DECIMATED 1:10 from the raw DFN_FRAME_LOG (the run presented ~1150 frames/s,
# so this keeps ~115 samples per second against a 60 Hz simulation tick --
# every tick is still sampled about twice, and the quantity claimed from this
# file is a SUSTAINED DISPLACEMENT (mm of eye travel) plus the SHAPE of a
# 0.15 s ramp, neither of which decimation can hide. It is NOT a per-frame
# meander like docs/FINDING_RUN_SMEAR.md, where every frame had to be kept.
236 0.1432 866.244491 1.798853 1.30900145 130.414474 21.710152 127.540634 1.597962 0.000000
240 0.1457 866.261000 1.798853 1.30900145 130.444138 21.707850 127.542343 1.597959 0.000000
244 12.6608 866.280130 1.798853 1.30900145 130.478516 21.705723 127.544098 1.597955 0.000000
248 11.1918 866.295383 1.798853 1.30900145 130.505920 21.704563 127.545319 1.597952 0.000000
252 2.0198 866.301932 1.798853 1.30900145 130.517700 21.704182 127.545815 1.597951 0.000000
256 3.2808 866.319389 1.798853 1.30900145 130.549088 21.703712 127.546936 1.597948 0.000000
260 3.3021 866.331768 1.798853 1.30900145 130.571350 21.703781 127.547607 1.597945 0.000000
264 2.5151 866.341149 1.798853 1.30900145 130.588211 21.704132 127.548035 1.597943 0.000000
268 2.5383 866.350101 1.797022 1.30900145 130.604309 21.704529 127.548424 1.597942 0.000000
272 2.5749 866.358989 1.797022 1.30900145 130.620270 21.705456 127.548706 1.597940 0.000000
276 2.7110 866.368058 1.797009 1.30900145 130.636581 21.706430 127.548973 1.597938 0.000000
280 2.0443 866.377244 1.797009 1.30900145 130.653091 21.707609 127.549156 1.597936 0.000000
284 2.1546 866.386070 1.797009 1.30900145 130.668945 21.708832 127.549301 1.597935 0.000000
288 2.0175 866.395129 1.797009 1.30900145 130.685242 21.710293 127.549377 1.597933 0.000000
292 2.0454 866.403832 1.797009 1.30900145 130.700867 21.711794 127.549423 1.597932 0.000000
296 1.9631 866.412929 1.797009 1.30900145 130.717239 21.713495 127.549400 1.597930 0.000000
300 2.1380 866.421952 1.797009 1.30900145 130.733459 21.715290 127.549339 1.597929 0.000000
304 2.1040 866.430997 1.797009 1.30900145 130.749725 21.717163 127.549232 1.597927 0.000000
308 3.1332 866.440940 1.797009 1.30900145 130.767593 21.719326 127.549026 1.597925 0.000000
312 2.5047 866.449817 1.797009 1.30900145 130.783554 21.721289 127.548843 1.597924 0.000000
316 2.6537 866.458720 1.797009 1.30900145 130.799561 21.723309 127.548569 1.597922 0.000000
320 2.6046 866.467504 1.797009 1.30900145 130.815369 21.725300 127.548294 1.597921 0.000000
324 2.2496 866.476361 1.797009 1.30900145 130.831299 21.727303 127.547958 1.597919 0.000000
328 1.9411 866.484952 1.797009 1.30900145 130.846756 21.729233 127.547623 1.597918 0.000000
332 1.9885 866.493662 1.797009 1.30900145 130.862427 21.731129 127.547218 1.597916 0.000000
336 1.9650 866.502165 1.797009 1.30900145 130.877716 21.732946 127.546814 1.597915 0.000000
340 2.1745 866.511391 1.797009 1.30900145 130.894318 21.734812 127.546333 1.597913 0.000000
344 2.0192 866.520166 1.797009 1.30900145 130.910110 21.736511 127.545860 1.597912 0.000000
348 1.9935 866.528885 1.797009 1.30900145 130.925797 21.738083 127.545349 1.597910 0.000000
352 1.9465 866.537399 1.797009 1.30900145 130.941101 21.739508 127.544846 1.597909 0.000000
356 1.8033 866.546080 1.797009 1.30900145 130.956726 21.740835 127.544312 1.597907 0.000000
360 1.9977 866.554986 1.797009 1.30900145 130.972748 21.742039 127.543747 1.597906 0.000000
364 2.0029 866.563690 1.797009 1.30900145 130.988419 21.743088 127.543175 1.597904 0.000000
368 2.6176 866.573126 1.797009 1.30900145 131.005402 21.743999 127.542557 1.597902 0.000000
372 2.1382 866.581604 1.797009 1.30900145 131.020645 21.744717 127.541969 1.597901 0.000000
376 2.6035 866.590845 1.797009 1.30900145 131.037277 21.745220 127.541344 1.597899 0.000000
380 2.3345 866.599930 1.797009 1.30900145 131.053619 21.745651 127.540718 1.597898 0.000000
384 2.3370 866.608694 1.797009 1.30900145 131.069397 21.745729 127.540115 1.597896 0.000000
388 2.3175 866.617445 1.797009 1.30900145 131.085144 21.745777 127.539513 1.597895 0.000000
392 1.9777 866.626170 1.797009 1.30900145 131.100845 21.745522 127.538925 1.597893 0.000000
396 1.9330 866.634926 1.797009 1.30900145 131.116608 21.745213 127.538330 1.597891 0.000000
400 1.9950 866.644034 1.797009 1.30900145 131.132996 21.744619 127.537735 1.597890 0.000000
404 2.1660 866.653153 1.797009 1.30900145 131.149384 21.743925 127.537148 1.597888 0.000000
408 2.0055 866.662019 1.797009 1.30900145 131.165344 21.743063 127.536606 1.597886 0.000000
412 2.0473 866.670756 1.797009 1.30900145 131.181076 21.742100 127.536072 1.597885 0.000000
416 1.9157 866.679561 1.797009 1.30900145 131.196915 21.740997 127.535561 1.597883 0.000000
420 2.0114 866.688622 1.797009 1.30900145 131.213226 21.739746 127.535072 1.597882 0.000000
424 2.6329 866.697955 1.797009 1.30900145 131.230011 21.738371 127.534576 1.597880 0.000000
428 2.7568 866.706729 1.797009 1.30900145 131.245789 21.736971 127.534157 1.597878 0.000000
432 2.5244 866.715249 1.797009 1.30900145 131.261124 21.735580 127.533760 1.597877 0.000000
436 2.4664 866.724030 1.797009 1.30900145 131.276917 21.734083 127.533409 1.597875 0.000000
440 2.7408 866.733139 1.797009 1.30900145 131.293304 21.732515 127.533051 1.597874 0.000000
444 2.0540 866.741817 1.797009 1.30900145 131.308914 21.731012 127.532776 1.597872 0.000000
448 2.0240 866.750492 1.797009 1.30900145 131.324509 21.729509 127.532516 1.597870 0.000000
