# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
# DECIMATED 1:10 from the raw DFN_FRAME_LOG (the run presented ~1150 frames/s,
# so this keeps ~115 samples per second against a 60 Hz simulation tick --
# every tick is still sampled about twice, and the quantity claimed from this
# file is a SUSTAINED DISPLACEMENT (mm of eye travel) plus the SHAPE of a
# 0.15 s ramp, neither of which decimation can hide. It is NOT a per-frame
# meander like docs/FINDING_RUN_SMEAR.md, where every frame had to be kept.
590 0.8537 866.667083 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
600 0.8200 866.675779 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
610 0.7885 866.684559 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
620 0.7515 866.693004 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
630 0.9306 866.701607 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
640 1.3297 866.710616 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
650 1.4924 866.719339 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
660 1.5733 866.728168 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
670 0.7725 866.736819 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
680 0.8030 866.745356 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
690 0.7084 866.753955 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
700 0.7747 866.762579 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
710 0.8613 866.771025 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
720 0.8605 866.779786 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
730 0.8303 866.788277 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
740 0.8557 866.796816 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
750 0.8035 866.805405 0.000000 1.30900002 128.000000 21.725430 127.900055 0.000000 0.000000
760 0.8349 866.814165 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
770 0.8890 866.822856 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
780 0.7487 866.831691 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
790 0.7893 866.840336 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
800 0.7956 866.848897 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
810 0.7692 866.857571 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
820 0.7089 866.866051 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
830 0.8398 866.874468 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
840 0.7116 866.882937 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
850 0.8387 866.891386 0.000000 1.30900002 128.000000 21.725430 127.900055 0.000000 0.000000
860 0.7020 866.899833 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
870 0.7302 866.908315 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
880 0.8397 866.917125 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
890 0.8558 866.925798 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
900 0.8297 866.934532 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
910 0.8409 866.943141 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
920 1.1265 866.952433 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
930 1.4747 866.961237 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
940 0.8706 866.969751 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
950 0.7183 866.978452 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
960 0.6548 866.987000 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
970 0.6920 866.995502 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
980 0.7430 867.003964 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
990 0.7212 867.012607 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1000 0.7888 867.021397 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1010 0.7083 867.030134 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1020 0.7415 867.038658 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
1030 0.7047 867.047363 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1040 0.7097 867.056308 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
1050 0.7619 867.065049 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1060 0.8158 867.073613 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
1070 0.6658 867.082059 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1080 0.8114 867.090448 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
1090 0.7525 867.098947 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1100 0.7740 867.107681 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
1110 0.8551 867.116056 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1120 0.8690 867.124503 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1130 0.5943 867.133100 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
1140 0.7663 867.141730 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
1150 0.7087 867.150104 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
