# Daggerfall N per-frame log -- one line per PRESENTED frame.
# No readback, no settle, no cooldown: this instrument cannot
# quiet the thing it is pointed at. Between-frames motion is
# arithmetic on adjacent lines.
# frame dt_ms game_s speed fov_y eye_x eye_y eye_z yaw pitch
# DECIMATED 1:10 from the raw DFN_FRAME_LOG (the run presented ~1150 frames/s,
# so this keeps ~115 samples per second against a 60 Hz simulation tick --
# every tick is still sampled about twice, and the quantity claimed from this
# file is a SUSTAINED DISPLACEMENT (mm of eye travel) plus the SHAPE of a
# 0.15 s ramp, neither of which decimation can hide. It is NOT a per-frame
# meander like docs/FINDING_RUN_SMEAR.md, where every frame had to be kept.
590 0.6857 867.319620 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
600 0.7593 867.328219 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
610 0.8196 867.337151 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
620 0.8489 867.345897 0.000000 1.30900002 128.000000 21.725426 127.900040 0.000000 0.000000
630 0.9025 867.354608 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
640 0.7903 867.363281 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
650 0.7328 867.371991 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
660 0.7778 867.380812 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
670 0.8440 867.389474 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
680 0.8303 867.398204 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
690 0.8530 867.407003 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
700 0.8081 867.415632 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
710 0.8305 867.424401 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
720 0.7595 867.433037 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
730 0.7402 867.441296 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
740 1.0820 867.450394 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
750 1.6230 867.459701 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
760 0.8917 867.468819 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
770 0.8160 867.477510 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
780 0.6750 867.486206 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
790 0.7385 867.494860 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
800 0.8184 867.503425 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
810 0.8019 867.511997 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
820 0.7501 867.520679 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
830 0.8085 867.529489 0.000000 1.30900002 128.000000 21.725426 127.900047 0.000000 0.000000
840 0.7069 867.538035 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
850 0.8329 867.547045 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
860 0.7537 867.555646 0.000000 1.30900002 128.000000 21.725428 127.900040 0.000000 0.000000
870 0.8272 867.564507 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
880 0.7748 867.572968 0.000000 1.30900002 128.000000 21.725430 127.900055 0.000000 0.000000
890 0.8163 867.581469 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
900 0.7862 867.590286 0.000000 1.30900002 128.000000 21.725430 127.900047 0.000000 0.000000
910 0.7214 867.598970 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
920 0.8100 867.607636 0.000000 1.30900002 128.000000 21.725430 127.900055 0.000000 0.000000
930 0.6455 867.616646 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
940 1.2133 867.625590 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
950 1.4831 867.634576 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
960 1.5335 867.643243 0.000000 1.30900002 128.000000 21.725428 127.900055 0.000000 0.000000
970 0.8914 867.651813 0.000000 1.30900002 128.000000 21.725428 127.900047 0.000000 0.000000
