# Daggerfall N per-frame ENVIRONMENT log -- one line per
# PRESENTED frame, taken at the set_environment() call.
# frame dark lights sun_x sun_y sun_z sun_lum amb_lum moon_light eye_x eye_y eye_z
60 0.000000 0 0.7837 0.5189 0.3413 0.9627 0.3586 0.0000 766.559 22.333 321.832
61 0.000000 0 0.7837 0.5190 0.3412 0.9627 0.3586 0.0000 766.599 22.328 321.799
62 0.000000 0 0.7837 0.5190 0.3412 0.9627 0.3586 0.0000 766.636 22.324 321.769
63 0.000000 0 0.7836 0.5191 0.3412 0.9627 0.3586 0.0000 766.685 22.322 321.731
64 0.000000 0 0.7836 0.5192 0.3412 0.9627 0.3586 0.0000 766.732 22.322 321.694
65 0.000000 0 0.7836 0.5192 0.3412 0.9627 0.3586 0.0000 766.780 22.324 321.658
66 0.000000 0 0.7835 0.5193 0.3412 0.9627 0.3586 0.0000 766.821 22.328 321.628
67 0.000000 0 0.7835 0.5193 0.3412 0.9627 0.3586 0.0000 766.830 22.329 321.621
68 0.000000 0 0.7835 0.5193 0.3412 0.9627 0.3586 0.0000 766.881 22.335 321.585
69 0.000000 0 0.7835 0.5194 0.3412 0.9627 0.3586 0.0000 766.927 22.341 321.553
70 0.000000 0 0.7834 0.5195 0.3412 0.9627 0.3586 0.0000 766.972 22.347 321.522
71 0.000000 0 0.7834 0.5195 0.3412 0.9627 0.3586 0.0000 767.029 22.353 321.484
72 0.000000 0 0.7834 0.5196 0.3412 0.9627 0.3586 0.0000 767.078 22.356 321.451
73 0.000000 0 0.7833 0.5196 0.3412 0.9627 0.3586 0.0000 767.137 22.356 321.412
74 0.000000 0 0.7833 0.5197 0.3411 0.9627 0.3586 0.0000 767.196 22.353 321.372
75 0.000000 0 0.7832 0.5198 0.3411 0.9627 0.3586 0.0000 767.250 22.347 321.336
76 0.000000 0 0.7832 0.5198 0.3411 0.9627 0.3586 0.0000 767.256 22.347 321.332
77 0.000000 0 0.7832 0.5198 0.3411 0.9627 0.3586 0.0000 767.266 22.345 321.325
78 0.000000 0 0.7832 0.5198 0.3411 0.9627 0.3586 0.0000 767.278 22.344 321.317
79 0.000000 0 0.7832 0.5199 0.3411 0.9627 0.3586 0.0000 767.325 22.338 321.284
80 0.000000 0 0.7831 0.5199 0.3411 0.9627 0.3586 0.0000 767.379 22.331 321.246
81 0.000000 0 0.7831 0.5200 0.3411 0.9627 0.3586 0.0000 767.417 22.326 321.220
82 0.000000 0 0.7831 0.5200 0.3411 0.9627 0.3586 0.0000 767.423 22.326 321.226
83 0.000000 0 0.7830 0.5201 0.3411 0.9627 0.3586 0.0000 767.430 22.326 321.233
84 0.000000 0 0.7830 0.5202 0.3411 0.9627 0.3586 0.0000 767.435 22.326 321.238
85 0.000000 0 0.7829 0.5203 0.3411 0.9627 0.3586 0.0000 767.441 22.327 321.243
86 0.000000 0 0.7829 0.5203 0.3411 0.9627 0.3586 0.0000 767.447 22.327 321.249
87 0.000000 0 0.7829 0.5203 0.3411 0.9627 0.3586 0.0000 767.447 22.327 321.250
88 0.000000 0 0.7829 0.5204 0.3411 0.9627 0.3586 0.0000 767.449 22.328 321.252
89 0.000000 0 0.7828 0.5204 0.3411 0.9627 0.3586 0.0000 767.455 22.329 321.257
