# Daggerfall N per-frame ENVIRONMENT log -- one line per
# PRESENTED frame, taken at the set_environment() call.
# frame dark lights sun_x sun_y sun_z sun_lum amb_lum moon_light eye_x eye_y eye_z
60 0.000000 0 0.7822 0.5215 0.3409 0.9627 0.3586 0.0000 801.242 26.057 296.411
61 0.000000 0 0.7821 0.5216 0.3409 0.9627 0.3586 0.0000 801.296 26.082 296.384
62 0.000000 0 0.7821 0.5217 0.3409 0.9627 0.3586 0.0000 801.346 26.105 296.361
63 0.000000 0 0.7820 0.5218 0.3409 0.9627 0.3586 0.0000 801.416 26.139 296.323
64 0.000000 0 0.7820 0.5218 0.3409 0.9627 0.3586 0.0000 801.484 26.168 296.286
65 0.000000 0 0.7819 0.5219 0.3408 0.9627 0.3586 0.0000 801.551 26.193 296.249
66 0.000000 0 0.7819 0.5220 0.3408 0.9627 0.3586 0.0000 801.610 26.211 296.217
67 0.000000 0 0.7819 0.5220 0.3408 0.9627 0.3586 0.0000 801.618 26.213 296.213
68 0.000000 0 0.7819 0.5220 0.3408 0.9627 0.3586 0.0000 801.635 26.218 296.203
69 0.000000 0 0.7818 0.5221 0.3408 0.9627 0.3586 0.0000 801.699 26.235 296.167
70 0.000000 0 0.7818 0.5222 0.3408 0.9627 0.3586 0.0000 801.769 26.253 296.127
71 0.000000 0 0.7817 0.5223 0.3408 0.9627 0.3586 0.0000 801.833 26.272 296.088
72 0.000000 0 0.7817 0.5224 0.3408 0.9627 0.3586 0.0000 801.903 26.296 296.045
73 0.000000 0 0.7816 0.5225 0.3408 0.9627 0.3586 0.0000 801.980 26.330 295.994
74 0.000000 0 0.7815 0.5226 0.3408 0.9627 0.3586 0.0000 802.049 26.364 295.947
75 0.000000 0 0.7815 0.5227 0.3407 0.9627 0.3586 0.0000 802.111 26.398 295.903
76 0.000000 0 0.7814 0.5228 0.3407 0.9627 0.3586 0.0000 802.180 26.433 295.853
77 0.000000 0 0.7814 0.5228 0.3407 0.9627 0.3586 0.0000 802.194 26.441 295.843
78 0.000000 0 0.7814 0.5228 0.3407 0.9627 0.3586 0.0000 802.204 26.446 295.835
79 0.000000 0 0.7814 0.5229 0.3407 0.9627 0.3586 0.0000 802.244 26.464 295.805
80 0.000000 0 0.7813 0.5229 0.3407 0.9627 0.3586 0.0000 802.287 26.482 295.774
81 0.000000 0 0.7813 0.5230 0.3407 0.9627 0.3586 0.0000 802.333 26.499 295.739
82 0.000000 0 0.7813 0.5230 0.3407 0.9627 0.3586 0.0000 802.371 26.512 295.711
83 0.000000 0 0.7812 0.5231 0.3407 0.9627 0.3586 0.0000 802.406 26.522 295.685
84 0.000000 0 0.7812 0.5231 0.3407 0.9627 0.3586 0.0000 802.444 26.533 295.658
85 0.000000 0 0.7812 0.5232 0.3407 0.9627 0.3586 0.0000 802.483 26.545 295.631
86 0.000000 0 0.7811 0.5232 0.3407 0.9627 0.3586 0.0000 802.520 26.556 295.605
87 0.000000 0 0.7811 0.5232 0.3407 0.9627 0.3586 0.0000 802.528 26.558 295.599
88 0.000000 0 0.7811 0.5233 0.3407 0.9627 0.3586 0.0000 802.549 26.565 295.584
89 0.000000 0 0.7811 0.5233 0.3407 0.9627 0.3586 0.0000 802.586 26.578 295.559
90 0.000000 0 0.7811 0.5234 0.3407 0.9627 0.3586 0.0000 802.615 26.589 295.540
91 0.000000 0 0.7810 0.5234 0.3406 0.9627 0.3586 0.0000 802.650 26.603 295.517
92 0.000000 0 0.7810 0.5235 0.3406 0.9627 0.3586 0.0000 802.688 26.619 295.493
93 0.000000 0 0.7810 0.5235 0.3406 0.9627 0.3586 0.0000 802.723 26.636 295.471
94 0.000000 0 0.7809 0.5236 0.3406 0.9627 0.3586 0.0000 802.754 26.652 295.452
95 0.000000 0 0.7809 0.5236 0.3406 0.9627 0.3586 0.0000 802.788 26.669 295.431
96 0.000000 0 0.7809 0.5236 0.3406 0.9627 0.3586 0.0000 802.826 26.689 295.408
97 0.000000 0 0.7809 0.5237 0.3406 0.9627 0.3586 0.0000 802.834 26.692 295.404
98 0.000000 0 0.7808 0.5237 0.3406 0.9627 0.3586 0.0000 802.867 26.710 295.384
99 0.000000 0 0.7808 0.5238 0.3406 0.9627 0.3586 0.0000 802.910 26.731 295.358
100 0.000000 0 0.7808 0.5238 0.3406 0.9627 0.3586 0.0000 802.953 26.751 295.333
101 0.000000 0 0.7807 0.5239 0.3406 0.9627 0.3586 0.0000 803.000 26.771 295.306
102 0.000000 0 0.7807 0.5239 0.3406 0.9627 0.3586 0.0000 803.044 26.788 295.281
103 0.000000 0 0.7807 0.5240 0.3406 0.9627 0.3586 0.0000 803.094 26.805 295.251
104 0.000000 0 0.7806 0.5240 0.3406 0.9627 0.3586 0.0000 803.136 26.818 295.227
105 0.000000 0 0.7806 0.5241 0.3406 0.9627 0.3586 0.0000 803.184 26.832 295.198
106 0.000000 0 0.7806 0.5242 0.3405 0.9627 0.3586 0.0000 803.236 26.847 295.166
107 0.000000 0 0.7805 0.5242 0.3405 0.9627 0.3586 0.0000 803.241 26.848 295.163
108 0.000000 0 0.7805 0.5242 0.3405 0.9627 0.3586 0.0000 803.284 26.861 295.136
